/*---------------------------------------------------------------------------*\
  =========                 |
  \\      /  F ield         | OpenFOAM: The Open Source CFD Toolbox
   \\    /   O peration     | Website:  https://openfoam.org
    \\  /    A nd           | Version:  dev
     \\/     M anipulation  |
\*---------------------------------------------------------------------------*/
Build  : dev-27a117d1f441
Exec   : equilibriumFlameT controlDict
Date   : Jan 16 2013
Time   : 15:40:39
Host   : "dm"
PID    : 4638
Case   : /home/dm2/henry/OpenFOAM/OpenFOAM-dev/applications/utilities/thermophysical/equilibriumFlameT
nProcs : 1
sigFpe : Enabling floating point exception trapping (FOAM_SIGFPE).
SetNaN : Initialising allocated memory to NaN (FOAM_SETNAN).
fileModificationChecking : Monitoring run-time modified files using timeStampMaster
allowSystemOperations : Allowing user-supplied system call operations

// * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * //

Reading thermodynamic data dictionary

Reading thermodynamic data for relevant species

stoichiometricAirFuelMassRatio stoichiometricAirFuelMassRatio [0 0 0 0 0 0 0] 34.0741;
Equilibrium flame temperature data (1 bar)

Phi          ft     T0         Tad         Teq      Terror   O2res (mole frac)
1.3   0.0367501    800     2769.99     2614.93     155.053   0.0135382
1.3   0.0367501    900     2854.55     2671.11     183.441   0.0164082
1.3   0.0367501   1000     2940.18     2719.34     220.839    0.020966
1.3   0.0367501   1100     3026.67     2716.03     310.638   0.0345757
1.3   0.0367501   1200     3114.09     2299.17     814.917   0.0995504
1.3   0.0367501   1300     3202.36     2339.63     862.738    0.100832
1.3   0.0367501   1400     3291.44     2105.72     1185.72    0.156866
1.3   0.0367501   1500     3381.25     2198.32     1182.93    0.146587
1.3   0.0367501   1600     3471.74     2223.91     1247.82    0.157186
1.3   0.0367501   1700     3562.85     2320.95      1241.9    0.157186
1.3   0.0367501   1800     3654.53     2418.18     1236.35    0.157186
1.3   0.0367501   1900     3746.74     2515.58     1231.16    0.157186
1.3   0.0367501   2000     3839.43     2613.14     1226.29    0.157186
1.3   0.0367501   2100     3932.56     2710.86     1221.71    0.157186
1.3   0.0367501   2200      4026.1      2808.7      1217.4    0.157186
1.3   0.0367501   2300        4120     2906.67     1213.33    0.157186
1.3   0.0367501   2400     4214.23     3004.75     1209.49    0.157186
1.3   0.0367501   2500     4308.77     3102.92     1205.85    0.157186
1.3   0.0367501   2600     4403.58     3201.19     1202.39    0.157186
1.3   0.0367501   2700     4498.64     3299.55     1199.09    0.157186
1.3   0.0367501   2800     4593.92     3397.98     1195.95    0.157186
1.3   0.0367501   2900     4689.41     3496.47     1192.94    0.157186
1.3   0.0367501   3000     4785.08     3595.03     1190.05    0.157186
1.35   0.0381097    300      2337.2     2284.79      52.412  0.00434014
1.35   0.0381097    400     2417.84     2351.24     66.6057  0.00554218
1.35   0.0381097    500     2498.91     2415.95     82.9607  0.00693641
1.35   0.0381097    600     2580.49     2478.96     101.531  0.00853635
1.35   0.0381097    700     2662.85     2540.32     122.523   0.0103923
1.35   0.0381097    800     2746.26     2599.53     146.737   0.0126998
1.35   0.0381097    900     2830.88     2656.73     174.152   0.0154295
1.35   0.0381097   1000     2916.54     2709.67     206.872    0.019057
1.35   0.0381097   1100     3003.05     2730.09      272.96   0.0288177
1.35   0.0381097   1200     3090.48     2251.76     838.725    0.106808
1.35   0.0381097   1300     3178.77     2336.41     842.362   0.0992999
1.35   0.0381097   1400     3267.85     2107.34     1160.51    0.154319
1.35   0.0381097   1500     3357.67     2235.58     1122.08     0.13749
1.35   0.0381097   1600     3448.15     2216.05      1232.1    0.154753
1.35   0.0381097   1700     3539.25     2313.09     1226.17    0.154753
1.35   0.0381097   1800     3630.93     2410.31     1220.62    0.154753
1.35   0.0381097   1900     3723.12     2507.71     1215.42    0.154753
1.35   0.0381097   2000      3815.8     2605.27     1210.53    0.154753
1.35   0.0381097   2100     3908.92     2702.97     1205.95    0.154753
1.35   0.0381097   2200     4002.44     2800.81     1201.63    0.154753
1.35   0.0381097   2300     4096.33     2898.78     1197.55    0.154753
1.35   0.0381097   2400     4190.55     2996.85      1193.7    0.154753
1.35   0.0381097   2500     4285.07     3095.02     1190.04    0.154753
1.35   0.0381097   2600     4379.86     3193.29     1186.58    0.154753
1.35   0.0381097   2700     4474.91     3291.64     1183.27    0.154753
1.35   0.0381097   2800     4570.18     3390.06     1180.12    0.154753
1.35   0.0381097   2900     4665.65     3488.55      1177.1    0.154753
1.35   0.0381097   3000     4761.31      3587.1     1174.21    0.154753

end
